gene	KOG_class
LOC101852067	Posttranslational modification, protein turnover, chaperones 
LOC101862357	Cell cycle control, cell division, chromosome partitioning 
LOC101862810	NA
LOC101861253	Inorganic ion transport and metabolism 
LOC101861253	Signal transduction mechanisms 
LOC106012271	NA
LOC101847739	Posttranslational modification, protein turnover, chaperones 
LOC101847969	NA
LOC101849550	Signal transduction mechanisms 
LOC106012274	Cell wall/membrane/envelope biogenesis 
LOC106012275	Cell wall/membrane/envelope biogenesis 
LOC101849302	NA
LOC106012276	Cell wall/membrane/envelope biogenesis 
LOC101850488	NA
LOC101854648	NA
LOC101854879	Lipid transport and metabolism 
LOC101854879	Signal transduction mechanisms 
LOC101854879	Posttranslational modification, protein turnover, chaperones 
LOC101855117	Cell wall/membrane/envelope biogenesis 
LOC101857191	Signal transduction mechanisms 
LOC101857421	Signal transduction mechanisms 
LOC101857421	Lipid transport and metabolism 
LOC101860421	Lipid transport and metabolism 
LOC101860665	Carbohydrate transport and metabolism 
LOC101853269	Intracellular trafficking, secretion, and vesicular transport 
LOC101853269	Nuclear structure 
LOC101848599	Amino acid transport and metabolism 
LOC101864697	NA
LOC101849551	NA
LOC101854959	NA
LOC101855197	Transcription 
LOC101857958	Replication, recombination and repair 
LOC106012286	NA
LOC106012287	NA
LOC101858421	Cell cycle control, cell division, chromosome partitioning 
LOC101858645	Secondary metabolites biosynthesis, transport and catabolism 
LOC106012289	Nucleotide transport and metabolism 
LOC106012289	Inorganic ion transport and metabolism 
LOC101862122	NA
LOC101854993	NA
LOC101862358	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863036	NA
LOC106012290	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863277	Posttranslational modification, protein turnover, chaperones 
LOC101845012	Intracellular trafficking, secretion, and vesicular transport 
LOC106012292	NA
LOC101850576	Extracellular structures 
LOC106012294	NA
LOC106012295	Amino acid transport and metabolism 
LOC101855429	Amino acid transport and metabolism 
LOC101863278	NA
LOC101857192	Posttranslational modification, protein turnover, chaperones 
LOC106012296	Posttranslational modification, protein turnover, chaperones 
LOC101859026	Signal transduction mechanisms 
LOC106012297	NA
LOC101863994	Energy production and conversion 
LOC101858790	NA
LOC101845252	NA
LOC101848214	Replication, recombination and repair 
LOC101848896	Replication, recombination and repair 
LOC101846825	Carbohydrate transport and metabolism 
LOC101855118	Energy production and conversion 
LOC101855351	Secondary metabolites biosynthesis, transport and catabolism 
LOC101854180	Chromatin structure and dynamics 
LOC101856587	Signal transduction mechanisms 
LOC101859872	NA
LOC101860828	Inorganic ion transport and metabolism 
LOC101861298	Amino acid transport and metabolism 
LOC101861056	Amino acid transport and metabolism 
LOC101859180	NA
LOC101862124	Signal transduction mechanisms 
LOC101853653	NA
LOC101863757	RNA processing and modification 
LOC101849069	Extracellular structures 
LOC101850490	Inorganic ion transport and metabolism 
LOC101850490	Signal transduction mechanisms 
LOC101849304	Amino acid transport and metabolism 
LOC101850262	RNA processing and modification 
LOC101853395	NA
LOC106012304	NA
LOC101853865	NA
LOC101854585	Signal transduction mechanisms 
LOC101857730	Translation, ribosomal structure and biogenesis 
LOC101858423	Chromatin structure and dynamics 
LOC106012310	NA
LOC106012309	NA
LOC101863996	Carbohydrate transport and metabolism 
LOC101862125	NA
LOC101845408	Translation, ribosomal structure and biogenesis 
LOC106012313	Signal transduction mechanisms 
LOC101846082	NA
LOC101863523	Posttranslational modification, protein turnover, chaperones 
LOC106012314	Posttranslational modification, protein turnover, chaperones 
LOC101848761	Amino acid transport and metabolism 
LOC101852779	NA
LOC101853246	NA
LOC101863071	Signal transduction mechanisms 
LOC101854881	Inorganic ion transport and metabolism 
LOC101854881	Signal transduction mechanisms 
LOC106012319	NA
LOC101853012	NA
LOC106012320	NA
LOC106012322	Transcription 
LOC106012323	Carbohydrate transport and metabolism 
LOC101860264	NA
LOC101845784	NA
LOC101851282	Signal transduction mechanisms 
LOC101851282	Intracellular trafficking, secretion, and vesicular transport 
LOC101851511	Cell wall/membrane/envelope biogenesis 
LOC101845208	Signal transduction mechanisms 
LOC101845208	Posttranslational modification, protein turnover, chaperones 
LOC101845664	Cell wall/membrane/envelope biogenesis 
LOC101860906	NA
LOC101861136	Signal transduction mechanisms 
LOC101861596	Cell wall/membrane/envelope biogenesis 
LOC101846891	RNA processing and modification 
LOC101845114	Translation, ribosomal structure and biogenesis 
LOC101845562	Replication, recombination and repair 
LOC106012336	NA
LOC101846010	NA
LOC101851206	Signal transduction mechanisms 
LOC101852106	NA
LOC101852338	Transcription 
LOC101852781	Transcription 
LOC101853014	NA
LOC101856442	Intracellular trafficking, secretion, and vesicular transport 
LOC101859343	Posttranslational modification, protein turnover, chaperones 
LOC101861137	Posttranslational modification, protein turnover, chaperones 
LOC101861597	Inorganic ion transport and metabolism 
LOC101861597	Amino acid transport and metabolism 
LOC101861597	Signal transduction mechanisms 
LOC101861375	Intracellular trafficking, secretion, and vesicular transport 
LOC101863827	Signal transduction mechanisms 
LOC101845014	NA
LOC106012339	Posttranslational modification, protein turnover, chaperones 
LOC101848055	NA
LOC106012342	NA
LOC101846389	Transcription 
LOC101857162	Transcription 
LOC101855655	Posttranslational modification, protein turnover, chaperones 
LOC101857496	NA
LOC101858197	Posttranslational modification, protein turnover, chaperones 
LOC106012346	Posttranslational modification, protein turnover, chaperones 
LOC101857262	NA
LOC101858793	Lipid transport and metabolism 
LOC101859257	NA
LOC101859716	Transcription 
LOC101862662	Replication, recombination and repair 
LOC101862662	Transcription 
LOC101862662	Posttranslational modification, protein turnover, chaperones 
LOC101864077	NA
LOC101850182	Signal transduction mechanisms 
LOC101847828	Posttranslational modification, protein turnover, chaperones 
LOC106012351	Signal transduction mechanisms 
LOC106012352	Lipid transport and metabolism 
LOC106012354	NA
LOC106012355	NA
LOC101850896	Translation, ribosomal structure and biogenesis 
LOC101853952	Posttranslational modification, protein turnover, chaperones 
LOC101856036	NA
LOC101853711	Posttranslational modification, protein turnover, chaperones 
LOC101854651	NA
LOC101859717	Amino acid transport and metabolism 
LOC101846664	NA
LOC101847509	Cell cycle control, cell division, chromosome partitioning 
LOC101847509	Posttranslational modification, protein turnover, chaperones 
LOC106012362	Intracellular trafficking, secretion, and vesicular transport 
LOC101848445	Transcription 
LOC101848445	Replication, recombination and repair 
LOC101848445	Signal transduction mechanisms 
LOC101848671	NA
LOC101857618	Signal transduction mechanisms 
LOC101850580	NA
LOC106012368	NA
LOC101854028	Inorganic ion transport and metabolism 
LOC106012370	Signal transduction mechanisms 
LOC101855580	Posttranslational modification, protein turnover, chaperones 
LOC106012373	NA
LOC101856745	Signal transduction mechanisms 
LOC101857194	Cell cycle control, cell division, chromosome partitioning 
LOC101860348	Carbohydrate transport and metabolism 
LOC101860348	Cell wall/membrane/envelope biogenesis 
LOC101861747	Signal transduction mechanisms 
LOC101852974	Intracellular trafficking, secretion, and vesicular transport 
LOC101845255	Posttranslational modification, protein turnover, chaperones 
LOC101845255	Intracellular trafficking, secretion, and vesicular transport 
LOC101847973	Posttranslational modification, protein turnover, chaperones 
LOC101846827	Posttranslational modification, protein turnover, chaperones 
LOC101851133	Posttranslational modification, protein turnover, chaperones 
LOC106012378	Energy production and conversion 
LOC101858795	Cell cycle control, cell division, chromosome partitioning 
LOC101855273	Amino acid transport and metabolism 
LOC101863358	Posttranslational modification, protein turnover, chaperones 
LOC101863830	Nucleotide transport and metabolism 
LOC101845017	Signal transduction mechanisms 
LOC101852941	Inorganic ion transport and metabolism 
LOC106012382	NA
LOC101852490	NA
LOC101852255	NA
LOC101857498	NA
LOC106012386	NA
LOC101856359	Posttranslational modification, protein turnover, chaperones 
LOC101862286	NA
LOC106012393	Energy production and conversion 
LOC101862517	RNA processing and modification 
LOC101862517	Translation, ribosomal structure and biogenesis 
LOC101851619	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863684	Carbohydrate transport and metabolism 
LOC101847744	NA
LOC101848446	Signal transduction mechanisms 
LOC101848446	Inorganic ion transport and metabolism 
LOC101848218	NA
LOC101852706	Translation, ribosomal structure and biogenesis 
LOC101852033	Amino acid transport and metabolism 
LOC101853632	NA
LOC101853869	Amino acid transport and metabolism 
LOC101854348	NA
LOC101853398	NA
LOC101856747	Carbohydrate transport and metabolism 
LOC101864470	NA
LOC101846084	Carbohydrate transport and metabolism 
LOC106012403	NA
LOC101864237	NA
LOC101860265	Inorganic ion transport and metabolism 
LOC101860265	Cell cycle control, cell division, chromosome partitioning 
LOC101861967	NA
LOC106012406	NA
LOC101863072	Cell wall/membrane/envelope biogenesis 
LOC101848129	
LOC106010993	Transcription 
LOC101850493	Carbohydrate transport and metabolism 
LOC101850019	Translation, ribosomal structure and biogenesis 
LOC101850737	NA
LOC101850972	Carbohydrate transport and metabolism 
LOC101849307	Signal transduction mechanisms 
LOC101854964	Signal transduction mechanisms 
LOC101854964	Intracellular trafficking, secretion, and vesicular transport 
LOC101853211	Posttranslational modification, protein turnover, chaperones 
LOC106012414	Carbohydrate transport and metabolism 
LOC106012415	Signal transduction mechanisms 
LOC101860752	Secondary metabolites biosynthesis, transport and catabolism 
LOC101861218	NA
LOC101861671	Signal transduction mechanisms 
LOC101861900	Signal transduction mechanisms 
LOC101858504	Transcription 
LOC101853663	Defense mechanisms 
LOC101853663	Extracellular structures 
LOC101862127	NA
LOC106012418	Secondary metabolites biosynthesis, transport and catabolism 
LOC101859344	Transcription 
LOC106012422	NA
LOC101847054	Cell wall/membrane/envelope biogenesis 
LOC101846014	NA
LOC101852257	Lipid transport and metabolism 
LOC101852708	Transcription 
LOC101852708	Signal transduction mechanisms 
LOC101850661	Signal transduction mechanisms 
LOC101847276	Defense mechanisms 
LOC101849709	Translation, ribosomal structure and biogenesis 
LOC101852492	RNA processing and modification 
LOC101858953	Amino acid transport and metabolism 
LOC101859875	NA
LOC101860112	Signal transduction mechanisms 
LOC101860588	Lipid transport and metabolism 
LOC101845709	Transcription 
LOC106012430	NA
LOC101864079	Intracellular trafficking, secretion, and vesicular transport 
LOC101845019	NA
LOC101863359	Chromatin structure and dynamics 
LOC101862518	Carbohydrate transport and metabolism 
LOC101849477	Intracellular trafficking, secretion, and vesicular transport 
LOC101847055	Intracellular trafficking, secretion, and vesicular transport 
LOC106012435	Carbohydrate transport and metabolism 
LOC106012437	Signal transduction mechanisms 
LOC101856199	NA
LOC101854840	Inorganic ion transport and metabolism 
LOC101854840	Signal transduction mechanisms 
LOC101851591	NA
LOC101852945	
LOC101851136	Signal transduction mechanisms 
LOC101857127	Cell cycle control, cell division, chromosome partitioning 
LOC101857127	Cell motility 
LOC101856445	Posttranslational modification, protein turnover, chaperones 
LOC101860267	NA
LOC101860031	Carbohydrate transport and metabolism 
LOC101861451	Signal transduction mechanisms 
LOC101860753	Posttranslational modification, protein turnover, chaperones 
LOC106012450	Secondary metabolites biosynthesis, transport and catabolism 
LOC101864238	Cell cycle control, cell division, chromosome partitioning 
LOC101862961	Carbohydrate transport and metabolism 
LOC101851060	Posttranslational modification, protein turnover, chaperones 
LOC101851060	Replication, recombination and repair 
LOC101851060	Transcription 
LOC106012451	Transcription 
LOC101851752	Carbohydrate transport and metabolism 
LOC101850350	NA
LOC101850581	Lipid transport and metabolism 
LOC101854590	Extracellular structures 
LOC101853872	Replication, recombination and repair 
LOC101854351	Inorganic ion transport and metabolism 
LOC101860986	NA
LOC101859801	Posttranslational modification, protein turnover, chaperones 
LOC101856748	NA
LOC101864163	Cytoskeleton 
LOC101845564	NA
LOC101863917	NA
LOC101847829	Signal transduction mechanisms 
LOC101848057	Energy production and conversion 
LOC101848765	Posttranslational modification, protein turnover, chaperones 
LOC101847597	NA
LOC106012464	Signal transduction mechanisms 
LOC101854379	Inorganic ion transport and metabolism 
LOC106012465	Signal transduction mechanisms 
LOC101852036	Carbohydrate transport and metabolism 
LOC101854265	Amino acid transport and metabolism 
LOC106012467	Inorganic ion transport and metabolism 
LOC101853801	RNA processing and modification 
LOC101853570	Signal transduction mechanisms 
LOC101854614	NA
LOC101853104	NA
LOC101852864	Signal transduction mechanisms 
LOC106012470	NA
LOC106012472	Inorganic ion transport and metabolism 
LOC106012472	Signal transduction mechanisms 
LOC106012474	Carbohydrate transport and metabolism 
LOC106012476	NA
LOC101859656	Amino acid transport and metabolism 
LOC106010973	Extracellular structures 
LOC101862665	Nucleotide transport and metabolism 
LOC101851427	Secondary metabolites biosynthesis, transport and catabolism 
LOC101850265	Posttranslational modification, protein turnover, chaperones 
LOC101849785	Carbohydrate transport and metabolism 
LOC101857501	Replication, recombination and repair 
LOC101856826	Intracellular trafficking, secretion, and vesicular transport 
LOC101857266	Signal transduction mechanisms 
LOC101855885	NA
LOC101857736	Signal transduction mechanisms 
LOC106012487	Transcription 
LOC101858119	Signal transduction mechanisms 
LOC101860755	Energy production and conversion 
LOC101864164	Translation, ribosomal structure and biogenesis 
LOC101864407	Cell wall/membrane/envelope biogenesis 
LOC106012493	Carbohydrate transport and metabolism 
LOC106012494	NA
LOC101854031	Secondary metabolites biosynthesis, transport and catabolism 
LOC106012496	Replication, recombination and repair 
LOC101853802	NA
LOC101851753	Signal transduction mechanisms 
LOC101851753	Transcription 
LOC101847355	Posttranslational modification, protein turnover, chaperones 
LOC106012495	Carbohydrate transport and metabolism 
LOC101852196	Signal transduction mechanisms 
LOC101853105	Signal transduction mechanisms 
LOC101852425	NA
LOC106012505	Posttranslational modification, protein turnover, chaperones 
LOC101854967	Cell wall/membrane/envelope biogenesis 
LOC101863600	NA
LOC101848901	NA
LOC101864319	Replication, recombination and repair 
LOC101846370	NA
LOC101847748	NA
LOC101852298	Replication, recombination and repair 
LOC101853714	Signal transduction mechanisms 
LOC101852197	Posttranslational modification, protein turnover, chaperones 
LOC106012510	Signal transduction mechanisms 
LOC101853954	Signal transduction mechanisms 
LOC101853954	Replication, recombination and repair 
LOC101852746	Intracellular trafficking, secretion, and vesicular transport 
LOC101854185	Intracellular trafficking, secretion, and vesicular transport 
LOC106012511	
LOC106012513	Intracellular trafficking, secretion, and vesicular transport 
LOC101856827	NA
LOC101857966	NA
LOC106012515	Posttranslational modification, protein turnover, chaperones 
LOC106012516	
LOC106012521	NA
LOC101848834	Cytoskeleton 
LOC101853429	Posttranslational modification, protein turnover, chaperones 
LOC101849310	Energy production and conversion 
LOC101855888	Cell wall/membrane/envelope biogenesis 
LOC101852947	NA
LOC106012525	Cytoskeleton 
LOC101853572	NA
LOC101856364	Energy production and conversion 
LOC101860033	Cytoskeleton 
LOC106012527	NA
LOC101860512	Carbohydrate transport and metabolism 
LOC101845567	Posttranslational modification, protein turnover, chaperones 
LOC101862963	NA
LOC101845347	Carbohydrate transport and metabolism 
LOC106012530	NA
LOC101850739	Amino acid transport and metabolism 
LOC101850495	Amino acid transport and metabolism 
LOC101855889	Carbohydrate transport and metabolism 
LOC101854737	Energy production and conversion 
LOC101863284	NA
LOC101862817	Chromatin structure and dynamics 
LOC101857841	NA
LOC101854615	Replication, recombination and repair 
LOC101863528	NA
LOC106012537	Secondary metabolites biosynthesis, transport and catabolism 
LOC101845792	Signal transduction mechanisms 
LOC101861096	NA
LOC101848134	Transcription 
LOC101851881	Posttranslational modification, protein turnover, chaperones 
LOC101851660	Signal transduction mechanisms 
LOC101849862	Amino acid transport and metabolism 
LOC101861785	NA
LOC101858350	NA
LOC101858120	Cytoskeleton 
LOC101853183	RNA processing and modification 
LOC101853402	NA
LOC106012540	NA
LOC101861376	NA
LOC101860672	Carbohydrate transport and metabolism 
LOC101847830	Posttranslational modification, protein turnover, chaperones 
LOC106012542	NA
LOC101846440	Lipid transport and metabolism 
LOC101864665	Cell wall/membrane/envelope biogenesis 
LOC101857583	Signal transduction mechanisms 
LOC101854592	Cytoskeleton 
LOC101861377	Signal transduction mechanisms 
LOC101861377	Inorganic ion transport and metabolism 
LOC101855310	Signal transduction mechanisms 
LOC101860912	Translation, ribosomal structure and biogenesis 
LOC101861829	Lipid transport and metabolism 
LOC101860430	Carbohydrate transport and metabolism 
LOC101846019	Extracellular structures 
LOC101846019	Cell wall/membrane/envelope biogenesis 
LOC101846441	Signal transduction mechanisms 
LOC101845794	Signal transduction mechanisms 
LOC101847357	NA
LOC101846900	Inorganic ion transport and metabolism 
LOC101851661	NA
LOC101849947	Translation, ribosomal structure and biogenesis 
LOC101851882	Posttranslational modification, protein turnover, chaperones 
LOC106012552	Posttranslational modification, protein turnover, chaperones 
LOC101856116	Posttranslational modification, protein turnover, chaperones 
LOC106012553	NA
LOC101856366	Transcription 
LOC101859033	
LOC101859261	
LOC101859957	
LOC101860431	
LOC101861830	Secondary metabolites biosynthesis, transport and catabolism 
LOC101855994	Extracellular structures 
LOC101862054	NA
LOC101860913	Posttranslational modification, protein turnover, chaperones 
LOC101861144	Transcription 
LOC101847358	Carbohydrate transport and metabolism 
LOC101846672	Transcription 
LOC101846901	Carbohydrate transport and metabolism 
LOC101850191	NA
LOC106012570	NA
LOC101851756	Signal transduction mechanisms 
LOC101852427	Energy production and conversion 
LOC101852200	Energy production and conversion 
LOC101848676	Chromatin structure and dynamics 
LOC101852641	NA
LOC101851845	Energy production and conversion 
LOC106012577	NA
LOC106012576	Replication, recombination and repair 
LOC101861456	Signal transduction mechanisms 
LOC106012581	Transcription 
LOC106012581	Replication, recombination and repair 
LOC106012581	Signal transduction mechanisms 
LOC101849864	Cytoskeleton 
LOC106012586	NA
LOC101854841	Secondary metabolites biosynthesis, transport and catabolism 
LOC101846753	Amino acid transport and metabolism 
LOC101848677	NA
LOC101850828	Posttranslational modification, protein turnover, chaperones 
LOC101850586	NA
LOC106012588	Extracellular structures 
LOC106012588	Cell wall/membrane/envelope biogenesis 
LOC106012589	NA
LOC101856486	Intracellular trafficking, secretion, and vesicular transport 
LOC101856117	Extracellular structures 
LOC101856117	Cell wall/membrane/envelope biogenesis 
LOC101856367	Extracellular structures 
LOC101856367	Cell wall/membrane/envelope biogenesis 
LOC101860758	Signal transduction mechanisms 
LOC101861224	Secondary metabolites biosynthesis, transport and catabolism 
LOC101862236	Energy production and conversion 
LOC101862236	Amino acid transport and metabolism 
LOC101863763	Posttranslational modification, protein turnover, chaperones 
LOC101845120	NA
LOC101862469	RNA processing and modification 
LOC101849146	Lipid transport and metabolism 
LOC106012595	NA
LOC101855124	NA
LOC101853955	Carbohydrate transport and metabolism 
LOC101856448	Signal transduction mechanisms 
LOC101860114	Intracellular trafficking, secretion, and vesicular transport 
LOC106012601	Transcription 
LOC101858878	NA
LOC101859878	Posttranslational modification, protein turnover, chaperones 
LOC106012602	NA
LOC106012604	Posttranslational modification, protein turnover, chaperones 
LOC101853478	Intracellular trafficking, secretion, and vesicular transport 
LOC106012605	Posttranslational modification, protein turnover, chaperones 
LOC101850976	Lipid transport and metabolism 
LOC101853019	NA
LOC101853249	Energy production and conversion 
LOC101851757	Replication, recombination and repair 
LOC101857662	NA
LOC101862698	Signal transduction mechanisms 
LOC106012609	NA
LOC101861831	Replication, recombination and repair 
LOC101862965	Inorganic ion transport and metabolism 
LOC101848989	NA
LOC101863456	Signal transduction mechanisms 
LOC101846444	Replication, recombination and repair 
LOC101849482	Nuclear structure 
LOC106012614	
LOC101864115	Signal transduction mechanisms 
LOC101853250	Intracellular trafficking, secretion, and vesicular transport 
LOC101854888	Intracellular trafficking, secretion, and vesicular transport 
LOC101850665	Signal transduction mechanisms 
LOC101850665	Inorganic ion transport and metabolism 
LOC101853020	Signal transduction mechanisms 
LOC101853020	Inorganic ion transport and metabolism 
LOC101854431	Posttranslational modification, protein turnover, chaperones 
LOC101864354	Signal transduction mechanisms 
LOC106012618	NA
LOC106012619	NA
LOC101863122	NA
LOC101862669	NA
LOC101862433	NA
LOC101861832	NA
LOC101861972	Cytoskeleton 
LOC101847515	Signal transduction mechanisms 
LOC101846374	Signal transduction mechanisms 
LOC101847752	Posttranslational modification, protein turnover, chaperones 
LOC101864643	Translation, ribosomal structure and biogenesis 
LOC101847983	Replication, recombination and repair 
LOC101847280	Inorganic ion transport and metabolism 
LOC101848678	Signal transduction mechanisms 
LOC101846832	Signal transduction mechanisms 
LOC101851663	Posttranslational modification, protein turnover, chaperones 
LOC101851885	Transcription 
LOC101852786	Signal transduction mechanisms 
LOC101853021	Signal transduction mechanisms 
LOC101850829	Cell wall/membrane/envelope biogenesis 
LOC101852563	Signal transduction mechanisms 
LOC101858207	Secondary metabolites biosynthesis, transport and catabolism 
LOC106012625	NA
LOC101861549	Cytoskeleton 
LOC101864474	Signal transduction mechanisms 
LOC101864702	Signal transduction mechanisms 
LOC101863286	Cell wall/membrane/envelope biogenesis 
LOC106012630	Carbohydrate transport and metabolism 
LOC101847753	Intracellular trafficking, secretion, and vesicular transport 
LOC101848226	Lipid transport and metabolism 
LOC101848454	NA
LOC106012633	Translation, ribosomal structure and biogenesis 
LOC106012634	Translation, ribosomal structure and biogenesis 
LOC101851593	Translation, ribosomal structure and biogenesis 
LOC101855278	Extracellular structures 
LOC106012635	Inorganic ion transport and metabolism 
LOC106012636	Cell cycle control, cell division, chromosome partitioning 
LOC106012638	NA
LOC101853718	Posttranslational modification, protein turnover, chaperones 
LOC106012645	Extracellular structures 
LOC101853340	NA
LOC101860273	Signal transduction mechanisms 
LOC101860273	Posttranslational modification, protein turnover, chaperones 
LOC101860516	Posttranslational modification, protein turnover, chaperones 
LOC106012647	NA
LOC101857813	Posttranslational modification, protein turnover, chaperones 
LOC106012648	NA
LOC101859352	Transcription 
LOC101864005	Amino acid transport and metabolism 
LOC100533515	Signal transduction mechanisms 
LOC101846675	Cytoskeleton 
LOC101863603	Transcription 
LOC101863603	Chromatin structure and dynamics 
LOC101850742	Transcription 
LOC101847360	NA
LOC101855920	Energy production and conversion 
LOC106012654	NA
LOC101856392	Posttranslational modification, protein turnover, chaperones 
LOC101853184	Inorganic ion transport and metabolism 
LOC101855666	Carbohydrate transport and metabolism 
LOC101855206	Amino acid transport and metabolism 
LOC101856624	Inorganic ion transport and metabolism 
LOC101859428	Coenzyme transport and metabolism 
LOC101861754	Posttranslational modification, protein turnover, chaperones 
LOC106012657	Signal transduction mechanisms 
LOC101860433	Secondary metabolites biosynthesis, transport and catabolism 
LOC101861973	NA
LOC106012661	Inorganic ion transport and metabolism 
LOC101857079	NA
LOC101845486	Transcription 
LOC106012664	NA
LOC101847059	Intracellular trafficking, secretion, and vesicular transport 
LOC106012665	Signal transduction mechanisms 
LOC101861225	Translation, ribosomal structure and biogenesis 
LOC101864246	Lipid transport and metabolism 
LOC101862459	Posttranslational modification, protein turnover, chaperones 
LOC101863287	Translation, ribosomal structure and biogenesis 
LOC101855511	Secondary metabolites biosynthesis, transport and catabolism 
LOC101855279	Inorganic ion transport and metabolism 
LOC101855279	Posttranslational modification, protein turnover, chaperones 
LOC101855741	Transcription 
LOC101854815	Transcription 
LOC101856911	Signal transduction mechanisms 
LOC101858051	Lipid transport and metabolism 
LOC101856451	Signal transduction mechanisms 
LOC101857271	Signal transduction mechanisms 
LOC101859429	Signal transduction mechanisms 
LOC101858957	Intracellular trafficking, secretion, and vesicular transport 
LOC101858294	Posttranslational modification, protein turnover, chaperones 
LOC101862293	Inorganic ion transport and metabolism 
LOC106012676	NA
LOC101863457	NA
LOC101862747	NA
LOC101860760	NA
LOC101862058	NA
LOC101863206	Carbohydrate transport and metabolism 
LOC101864704	NA
LOC101848061	Signal transduction mechanisms 
LOC101854597	NA
LOC101853876	Transcription 
LOC101859190	Carbohydrate transport and metabolism 
LOC101858457	Inorganic ion transport and metabolism 
LOC101858681	Signal transduction mechanisms 
LOC106012687	Transcription 
LOC101861906	Posttranslational modification, protein turnover, chaperones 
LOC101858907	Signal transduction mechanisms 
LOC101862823	Chromatin structure and dynamics 
LOC101861226	Transcription 
LOC101859375	Cell wall/membrane/envelope biogenesis 
LOC101845188	NA
LOC101849557	NA
LOC101849075	NA
LOC101849313	NA
LOC106012692	Secondary metabolites biosynthesis, transport and catabolism 
LOC101850273	Chromatin structure and dynamics 
LOC101850028	Translation, ribosomal structure and biogenesis 
LOC101856369	Replication, recombination and repair 
LOC101860116	NA
LOC106012699	NA
LOC101858881	NA
LOC101859661	Signal transduction mechanisms 
LOC101863458	NA
LOC101864413	Inorganic ion transport and metabolism 
LOC101864413	Signal transduction mechanisms 
LOC101863923	Carbohydrate transport and metabolism 
LOC101845122	Cell wall/membrane/envelope biogenesis 
LOC106012708	Cell wall/membrane/envelope biogenesis 
LOC106012709	NA
LOC101864344	Posttranslational modification, protein turnover, chaperones 
LOC101854660	Posttranslational modification, protein turnover, chaperones 
LOC101850503	NA
LOC101858233	NA
LOC101854190	Inorganic ion transport and metabolism 
LOC101861064	Intracellular trafficking, secretion, and vesicular transport 
LOC101861755	
LOC101861307	NA
LOC101861529	Inorganic ion transport and metabolism 
LOC106012716	Carbohydrate transport and metabolism 
LOC101845639	NA
LOC101855692	Carbohydrate transport and metabolism 
LOC101848307	Carbohydrate transport and metabolism 
LOC101845049	Posttranslational modification, protein turnover, chaperones 
LOC106012725	Cytoskeleton 
LOC101853342	NA
LOC101853113	NA
LOC101857202	Posttranslational modification, protein turnover, chaperones 
LOC106012732	Signal transduction mechanisms 
LOC101854891	Signal transduction mechanisms 
LOC101859353	Transcription 
LOC101859588	Replication, recombination and repair 
LOC101859806	Coenzyme transport and metabolism 
LOC101860275	NA
LOC106012735	Transcription 
LOC106012736	Transcription 
LOC101863208	NA
LOC101863691	Posttranslational modification, protein turnover, chaperones 
LOC101853138	Cytoskeleton 
LOC101846678	Secondary metabolites biosynthesis, transport and catabolism 
LOC101845712	NA
LOC101845351	Posttranslational modification, protein turnover, chaperones 
LOC106012737	Signal transduction mechanisms 
LOC106012739	Translation, ribosomal structure and biogenesis 
LOC101851597	Carbohydrate transport and metabolism 
LOC101850429	Translation, ribosomal structure and biogenesis 
LOC106012741	Translation, ribosomal structure and biogenesis 
LOC101854038	Transcription 
LOC101860678	Signal transduction mechanisms 
LOC101861383	Energy production and conversion 
LOC101863123	Posttranslational modification, protein turnover, chaperones 
LOC101846907	Signal transduction mechanisms 
LOC101853597	NA
LOC101847603	Signal transduction mechanisms 
LOC101845261	Secondary metabolites biosynthesis, transport and catabolism 
LOC101847135	Secondary metabolites biosynthesis, transport and catabolism 
LOC101846448	NA
LOC101863835	NA
LOC106012752	Carbohydrate transport and metabolism 
LOC101850744	NA
LOC101853832	Translation, ribosomal structure and biogenesis 
LOC106012753	NA
LOC101850029	NA
LOC101850274	Intracellular trafficking, secretion, and vesicular transport 
LOC101855044	Posttranslational modification, protein turnover, chaperones 
LOC101855044	Signal transduction mechanisms 
LOC101853483	Signal transduction mechanisms 
LOC101854064	NA
LOC101854358	Signal transduction mechanisms 
LOC101854358	Intracellular trafficking, secretion, and vesicular transport 
LOC101857741	Signal transduction mechanisms 
LOC101858209	Secondary metabolites biosynthesis, transport and catabolism 
LOC106012761	Chromatin structure and dynamics 
LOC101861756	Energy production and conversion 
LOC106012764	Secondary metabolites biosynthesis, transport and catabolism 
LOC106012764	Lipid transport and metabolism 
LOC101864249	RNA processing and modification 
LOC101862671	Transcription 
LOC106012767	NA
LOC106012768	Intracellular trafficking, secretion, and vesicular transport 
LOC101847754	NA
LOC101845867	NA
LOC101855441	Signal transduction mechanisms 
LOC106012772	Translation, ribosomal structure and biogenesis 
LOC101857353	Lipid transport and metabolism 
LOC101856121	
LOC101857588	Signal transduction mechanisms 
LOC101856913	Amino acid transport and metabolism 
LOC101862061	NA
LOC101860437	NA
LOC101860193	Cell wall/membrane/envelope biogenesis 
LOC101860193	Carbohydrate transport and metabolism 
LOC101860680	Intracellular trafficking, secretion, and vesicular transport 
LOC101860917	Intracellular trafficking, secretion, and vesicular transport 
LOC106012776	Intracellular trafficking, secretion, and vesicular transport 
LOC101859727	Extracellular structures 
LOC106012777	NA
LOC101845487	NA
